ID,Country,Use,Typology,From (year),To (year),Energy class,Construction type,Gross floor area (m2),Net floor (heated) area (m2),Net cooled area (m2),Volume (m3),Number of storeys,Number of dwellings or units,Average number of habitants (per dwelling),Number of buildings in stock (31.12.2022),Number of refurbished buildings (light),Number of refurbished buildings (medium),Number of refurbished buildings (deep),"Number of protected buildings (""Denkmalschutz"")",Share of occupied dwellings or units,Share of vacant dwellings or units,Share of secondary dwellings or units,Space heating demand Existing state (kWh/m2a),Space heating demand Light refurbishment (kWh/m2a),Space heating demand Medium refurbishment (kWh/m2a),Space heating demand Deep refurbishment (kWh/m2a),Space cooling demand (kWh/m2a),Energy demand for domestic hot water (kWh/m2GFAa),Final energy consumption space heating - Existing state (kWh/m2a),Final energy consumption space heating - Light refurbishment (kWh/m2a),Final energy consumption space heating - Medium refurbishment (kWh/m2a),Final energy consumption space heating - Deep refurbishment (kWh/m2a),Final energy consumption space cooling (kWh/m2Aa),Final energy consumption domestic hot water (kWh/m2NFAa),Electricity demand  (excl. heating) - B6.1 (kWh/m2NFAa),Electricity demand - B6.2 & B6.3 (kWh/m2NFAa),Energy demand - B8 (kWh/building),Water use per building per year (m3),Element type,Area (m2),ID component (as-built),U-value default (W/m2K),ID component (light refurbishment),U-value light (W/m2K),ID component (medium refurbishment),U-value medium (W/m2K),ID component (deep refurbishment),U-value deep (W/m2K),Energy carriers (current),ID component (current),Share (current),Comment,Energy carriers (exchange),ID component (exchange),Share (exchange)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",279.1462498,IWm_11_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",465.2256609,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,484.1443322,GDm_06_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,121.0360831,DAm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,74.43719108,Win_02_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-21,Doo_05_r,,,,,,,,,,,,,,
AT-HEA-2011-2022-23,AT,Non-residential,Health (HEA),2011,2022,Passive,Concrete,605.1804153,496.2479405,96.04798849,1815.541246,5,10,0,224,0,0,0,0,0.909090909,0.090909091,0,15,0,0,0,60.09,23.87,19.04835165,0,0,0,38.46,24.82,24.26141124,43.13139776,0,508.9034199,Foundation,121.0360831,Efu_01_a,0.15,,,,,,,district heating,DIH_01_r,0.34,,district heating,DIH_01_r,0.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,246.4367364,EAm_02_a,0.16,,,,,,,"pellets central heating, with solar thermal",PEL_01_s,0.01,,"pellets central heating, with solar thermal",PEL_01_s,0.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,121.0360831,KDu_02_a,0.15,,,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.01,,"electric direct heating, with solar thermal",ELE_01_s,0.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,213.0835993,AWm_14_a,,,,,,,,heat pump,HEP_01_r,0.64,,heat pump,HEP_01_r,0.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",279.1462498,IWm_11_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",465.2256609,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,484.1443322,GDm_06_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,121.0360831,DAm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,74.43719108,Win_02_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-21,Doo_05_r,,,,,,,,,,,,,,
AT-HEA-2011-2022-33,AT,Non-residential,Health (HEA),2011,2022,Passive,Wood massive,605.1804153,496.2479405,96.04798849,1815.541246,5,10,0,58,0,0,0,0,0.909090909,0.090909091,0,15,0,0,0,60.09,23.87,19.04835165,0,0,0,38.46,24.82,24.26141124,43.13139776,0,508.9034199,Foundation,121.0360831,Efu_01_a,0.15,,,,,,,district heating,DIH_01_r,0.34,,district heating,DIH_01_r,0.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,246.4367364,EAm_02_a,0.16,,,,,,,"pellets central heating, with solar thermal",PEL_01_s,0.01,,"pellets central heating, with solar thermal",PEL_01_s,0.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,121.0360831,KDu_02_a,0.15,,,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.01,,"electric direct heating, with solar thermal",ELE_01_s,0.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,213.0835993,AWm_09_a,0.1,,,,,,,heat pump,HEP_01_r,0.64,,heat pump,HEP_01_r,0.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",279.1462498,IWm_06_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",465.2256609,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,484.1443322,GDh_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,121.0360831,DAh_02_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,74.43719108,Win_02_m,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-21,Doo_05_r,,,,,,,,,,,,,,
AT-HOR-1850-1944-11,AT,Non-residential,Hotel and Restaurant (HOR),1850,1944,Standard,Masonry,761.9047619,624,96.12121212,2285.714286,5,2,0,14377,1208,355,173,350,0.833333333,0.166666667,0,117.83,111.9385,73.37547679,45.54419083,73.99,5.99,149.65,142.1675,93.19052959,57.84340284,47.36,6.23,21.16413066,37.62512116,0,1185.6,Foundation,152.3809524,Efo_18_a,1.35,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.068887069,,district heating,DIH_01_r,0.1694
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,276.5116031,EAm_18_a,0.68,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.15,,pellets central heating,PEL_01_r,0.143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,152.3809524,KDo_18_a,0.99,,,REN_02_a,0.23,REN_02_a,0.20625,wood central heating,PEL_01_r,0.27,,"electric direct heating, with solar thermal",ELE_01_s,0.011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,262.878977,AWm_18_a,0.78,,,REN_01_a,0.231428571,REN_01_a,0.124285714,heat pump,HEP_01_r,0.05,,heat pump,HEP_01_r,0.677
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,262.878977,AWm_19_a,0.92,,,REN_01_a,0.231428571,REN_01_a,0.124285714,district heating,DIH_01_r,0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,131.4394885,AWm_20_a,1.18,,,REN_01_a,0.231428571,REN_01_a,0.124285714,electric direct heating,ELE_01_r,0.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",208.576497,IWm_18_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",347.6139792,IWm_19_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,152.3809524,KDo_19_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,457.1428571,GDm_18_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attic floor,152.3809524,GDm_20_a,0.59,REN_03_a,0.225,REN_03_a,0.225,REN_03_a,0.11375,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,215.4992095,DAI_18_a,1.05,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,124.8,Win_18_k,2.2,,,Win_01_p,1.225,Win_02_p,1.1425,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-45,Doo_05_r,,,,Doo_04_r,1-0,Doo_04_r,1-0,,,,,,,
AT-HOR-1945-1969-11,AT,Non-residential,Hotel and Restaurant (HOR),1945,1969,Standard,Masonry,761.9047619,624,95.62848297,2285.714286,5,1,0,10683,897,264,128,260,0.833333333,0.166666667,0,83.96,79.762,49.98840088,31.30501818,77.29,5.99,106.63,101.2985,63.48574542,39.75767137,49.47,6.23,21.16413066,37.62512116,0,1185.6,Foundation,152.3809524,Efo_60_a,2.44,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.068887069,,district heating,DIH_01_r,0.1694
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,276.5116031,EAm_60_a,2.98,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.15,,pellets central heating,PEL_01_r,0.143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,152.3809524,KDo_60_a,1.28,,,REN_02_a,0.175,REN_02_a,0.175,wood central heating,PEL_01_r,0.27,,"electric direct heating, with solar thermal",ELE_01_s,0.011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,657.1974425,AWm_63_a,1.33,,,REN_01_a,0.225,REN_01_a,0.13,heat pump,HEP_01_r,0.05,,heat pump,HEP_01_r,0.677
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",208.576497,AWm_64_a,,,,,,,,district heating,DIH_01_r,0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",347.6139792,IWm_62_a,,,,,,,,electric direct heating,ELE_01_r,0.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,609.5238095,GDm_60_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attic floor,152.3809524,GDm_60_a,2.67,REN_03_a,0.2,REN_03_a,0.2,REN_03_a,0.1075,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,175.9543678,DAI_60_a,0.7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,124.8,Win_60_w,2.3,,,Win_01_p,1.425,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-45,Doo_05_r,,,,Doo_04_r,1-0,Doo_04_r,1-0,,,,,,,
AT-HOR-1970-1979-21,AT,Non-residential,Hotel and Restaurant (HOR),1970,1979,Standard,Concrete,761.9047619,624,97.5,2285.714286,5,2,0,10066,846,249,121,245,0.75,0.25,0,73.45,69.7775,47.13345544,28.61651794,78.05,5.99,93.28,88.616,59.85852585,36.34239338,49.96,6.23,21.16413066,37.62512116,0,1185.6,Foundation,152.3809524,Efo_70_a,2.44,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.068887069,,district heating,DIH_01_r,0.1694
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,276.5116031,EAm_70_a,2.78,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.15,,pellets central heating,PEL_01_r,0.143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,152.3809524,KDo_70_a,1,,,REN_02_a,0.165,REN_02_a,0.165,wood central heating,PEL_01_r,0.27,,"electric direct heating, with solar thermal",ELE_01_s,0.011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,657.1974425,AWm_70_a,1.1,,,REN_01_a,0.225,REN_01_a,0.1275,heat pump,HEP_01_r,0.05,,heat pump,HEP_01_r,0.677
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",208.576497,IWm_70_a,,,,,,,,district heating,DIH_01_r,0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",347.6139792,IWm_72_a,,,,,,,,electric direct heating,ELE_01_r,0.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,609.5238095,GDm_70_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,124.8,DAI_73_a,0.708661417,REN_06_a,0.1975,REN_06_a,0.1975,REN_06_a,0.1175,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,124.8,Win_70_w,2.6,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-45,Doo_05_r,,,,Doo_04_r,1-0,Doo_04_r,1-0,,,,,,,
AT-HOR-1980-1989-21,AT,Non-residential,Hotel and Restaurant (HOR),1980,1989,Standard,Concrete,761.9047619,624,97.83050847,2285.714286,5,2,0,7918,665,196,95,193,0.75,0.25,0,52.71,50.0745,33.56916,21.14373525,78.85,5.99,66.94,63.593,42.63175053,26.85186184,50.46,6.23,21.16413066,37.62512116,0,1185.6,Foundation,152.3809524,Efo_80_a,0.65,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.068887069,,district heating,DIH_01_r,0.1694
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,276.5116031,EAm_80_a,3.59,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.15,,pellets central heating,PEL_01_r,0.143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,152.3809524,KDo_80_a,0.6,,,REN_02_a,0.1525,REN_02_a,0.1525,wood central heating,PEL_01_r,0.27,,"electric direct heating, with solar thermal",ELE_01_s,0.011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,657.1974425,AWm_82_a,0.69,,,REN_01_a,0.2175,REN_01_a,0.1275,heat pump,HEP_01_r,0.05,,heat pump,HEP_01_r,0.677
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",208.576497,IWm_80_a,,,,,,,,district heating,DIH_01_r,0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",347.6139792,IWm_82_a,,,,,,,,electric direct heating,ELE_01_r,0.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,609.5238095,GDm_80_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,124.8,DAI_82_a,0.65,REN_05_a,0.18,REN_05_a,0.18,REN_05_a,0.09,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,124.8,Win_80_w,2.5,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-45,Doo_05_r,,,,Doo_04_r,1-0,Doo_04_r,1-0,,,,,,,
AT-HOR-1990-1999-21,AT,Non-residential,Hotel and Restaurant (HOR),1990,1999,Standard,Concrete,761.9047619,624,99.27272727,2285.714286,5,2,0,2063,173,51,25,0,0.75,0.25,0,31.97,30.3715,26.0926456,21.39465535,60.11,5.99,40.6,38.57,33.13610921,27.16994079,38.47,6.23,21.16413066,37.62512116,0,1185.6,Foundation,152.3809524,Efo_00_a,0.378461538,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.068887069,,district heating,DIH_01_r,0.1694
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,276.5116031,EAm_02_a,0.378461538,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.15,,pellets central heating,PEL_01_r,0.143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,152.3809524,KDu_01_a,0.5,,,REN_02_a,0.1325,REN_02_a,0.1325,wood central heating,PEL_01_r,0.27,,"electric direct heating, with solar thermal",ELE_01_s,0.011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,657.1974425,AWm_01_a,0.48,,,REN_01_a,0.23,REN_01_a,0.16,heat pump,HEP_01_r,0.05,,heat pump,HEP_01_r,0.677
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",208.576497,IWm_09_a,,,,,,,,district heating,DIH_01_r,0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",347.6139792,IWI_01_a,,,,,,,,electric direct heating,ELE_01_r,0.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,609.5238095,GDm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,124.8,DAm_03_a,0.3,REN_05_a,0.1325,REN_05_a,0.1325,REN_05_a,0.075,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,124.8,Win_01_p,1.4,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-45,Doo_05_r,,,,Doo_04_r,1-0,Doo_04_r,1-0,,,,,,,
AT-HOR-2000-2010-21,AT,Non-residential,Hotel and Restaurant (HOR),2000,2010,Standard,Concrete,761.9047619,624,99.84,2285.714286,5,1,0,3923,0,0,0,0,0.833333333,0.166666667,0,26.36,0,0,0,67.93,5.99,33.47,0,0,0,43.47,6.23,21.16413066,37.62512116,0,1185.6,Foundation,152.3809524,Efo_00_a,0.345961538,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.068887069,,district heating,DIH_01_r,0.1694
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,276.5116031,EAm_02_a,0.345961538,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.15,,pellets central heating,PEL_01_r,0.143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,152.3809524,KDu_01_a,0.45,,,,,,,wood central heating,PEL_01_r,0.27,,"electric direct heating, with solar thermal",ELE_01_s,0.011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,657.1974425,AWm_01_a,0.32,,,,,,,heat pump,HEP_01_r,0.05,,heat pump,HEP_01_r,0.677
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",208.576497,IWm_09_a,,,,,,,,district heating,DIH_01_r,0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",347.6139792,IWI_01_a,,,,,,,,electric direct heating,ELE_01_r,0.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,609.5238095,GDm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,124.8,DAm_03_a,0.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,124.8,Win_01_p,1.3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-45,Doo_05_r,,,,,,,,,,,,,,
AT-HOR-2011-2022-11,AT,Non-residential,Hotel and Restaurant (HOR),2011,2022,Standard,Masonry,761.9047619,624,124.8,2285.714286,5,2,0,2701,0,0,0,0,0.75,0.25,0,20.75,0,0,0,62.63,5.99,26.35,0,0,0,40.08,6.23,21.16413066,37.62512116,0,1185.6,Foundation,152.3809524,Efu_01_a,0.388461538,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.8,,district heating,DIH_01_r,0.1694
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,276.5116031,EAm_02_a,0.388461538,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.02,,pellets central heating,PEL_01_r,0.143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,152.3809524,KDu_01_a,0.4,,,,,,,district heating,DIH_01_r,0.09,,"electric direct heating, with solar thermal",ELE_01_s,0.011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,657.1974425,AWm_05_a,0.35,,,,,,,electric direct heating,ELE_01_r,0.01,,heat pump,HEP_01_r,0.677
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",208.576497,IWm_09_a,,,,,,,,heat pump,HEP_01_r,0.08,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",347.6139792,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,609.5238095,GDm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,124.8,DAm_03_a,0.191509434,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,124.8,Win_01_a,1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-45,Doo_05_r,,,,,,,,,,,,,,
AT-HOR-2011-2022-21,AT,Non-residential,Hotel and Restaurant (HOR),2011,2022,Standard,Concrete,761.9047619,624,124.8,2285.714286,5,2,0,2283,0,0,0,0,0.75,0.25,0,20.75,0,0,0,62.63,5.99,26.35,0,0,0,40.08,6.23,21.16413066,37.62512116,0,1185.6,Foundation,152.3809524,Efu_01_a,0.388461538,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.8,,district heating,DIH_01_r,0.1694
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,276.5116031,EAm_02_a,0.388461538,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.02,,pellets central heating,PEL_01_r,0.143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,152.3809524,KDu_01_a,0.4,,,,,,,district heating,DIH_01_r,0.09,,"electric direct heating, with solar thermal",ELE_01_s,0.011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,657.1974425,AWm_01_a,0.35,,,,,,,electric direct heating,ELE_01_r,0.01,,heat pump,HEP_01_r,0.677
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",208.576497,IWm_08_a,,,,,,,,heat pump,HEP_01_r,0.08,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",347.6139792,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,609.5238095,GDm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,124.8,DAm_03_a,0.191509434,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,124.8,Win_01_a,1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-45,Doo_05_r,,,,,,,,,,,,,,
AT-HOR-2011-2022-31,AT,Non-residential,Hotel and Restaurant (HOR),2011,2022,Standard,Wood massive,761.9047619,624,124.8,2285.714286,5,2,0,585,0,0,0,0,0.75,0.25,0,20.75,0,0,0,62.63,5.99,26.35,0,0,0,40.08,6.23,21.16413066,37.62512116,0,1185.6,Foundation,152.3809524,Efu_01_a,0.388461538,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.8,,district heating,DIH_01_r,0.1694
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,276.5116031,EAm_02_a,0.388461538,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.02,,pellets central heating,PEL_01_r,0.143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,152.3809524,KDu_01_a,0.4,,,,,,,district heating,DIH_01_r,0.09,,"electric direct heating, with solar thermal",ELE_01_s,0.011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,657.1974425,AWm_09_a,0.35,,,,,,,electric direct heating,ELE_01_r,0.01,,heat pump,HEP_01_r,0.677
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",208.576497,IWm_06_a,,,,,,,,heat pump,HEP_01_r,0.08,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",347.6139792,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,609.5238095,GDh_03_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,124.8,DAh_02_a,0.191509434,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,124.8,Win_01_m,1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-45,Doo_05_r,,,,,,,,,,,,,,
AT-HOR-2011-2022-12,AT,Non-residential,Hotel and Restaurant (HOR),2011,2022,Advanced,Masonry,761.9047619,624,124.8,2285.714286,5,2,0,1964,0,0,0,0,0.75,0.25,0,15,0,0,0,62.63,5.99,19.04819277,0,0,0,40.08,6.23,21.16413066,37.62512116,0,1185.6,Foundation,152.3809524,Efu_01_a,0.2375,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.8,,district heating,DIH_01_r,0.1694
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,276.5116031,EAm_02_a,0.2375,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.02,,pellets central heating,PEL_01_r,0.143
